Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Prescriptions,Restricted,General Medicine,Training,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the General Medicine department with clearance level 2.
Administrative Data,Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 3.
Lab Results,Restricted,Cardiology,Training,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Cardiology department with clearance level 3.
Research Data,Restricted,General Medicine,Billing,No,This data can be accessed by users having roles: (Researcher or Researcher) and belonging to the General Medicine department with clearance level 1.
Lab Results,Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Cardiology department with clearance level 1.
Research Data,Confidential,General Medicine,Research,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 1.
Administrative Data,Highly Confidential,Cardiology,Research,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 2.
Medical Records,Public,Radiology,Research,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 2.
Imaging Data,Restricted,Neurology,Training,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 2.
Research Data,Highly Confidential,General Medicine,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Highly Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 2.
Administrative Data,Restricted,Radiology,Billing,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Radiology department with clearance level 2.
Administrative Data,Restricted,General Medicine,Training,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 1.
Medical Records,Restricted,Oncology,Training,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Oncology department with clearance level 1.
Research Data,Restricted,General Medicine,Research,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 1.
Administrative Data,Confidential,Cardiology,Research,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 2.
Research Data,Public,Oncology,Training,No,This data can be accessed by users having roles: (Researcher or Researcher) and belonging to the Oncology department with clearance level 3.
Administrative Data,Public,Neurology,Billing,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Neurology department with clearance level 1.
Medical Records,Public,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Admin) and belonging to the Neurology department with clearance level 1.
Administrative Data,Highly Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 1.
Prescriptions,Highly Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 3.
Medical Records,Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Oncology department with clearance level 2.
Medical Records,Public,Radiology,Research,No,This data can be accessed by users having roles: (Nurse or Nurse) and belonging to the Radiology department with clearance level 2.
Administrative Data,Restricted,Cardiology,Research,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,Radiology,Billing,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Radiology department with clearance level 1.
Lab Results,Highly Confidential,Cardiology,Training,No,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Cardiology department with clearance level 3.
Research Data,Public,Neurology,Billing,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Neurology department with clearance level 2.
Administrative Data,Highly Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Cardiology department with clearance level 1.
Prescriptions,Restricted,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 3.
Prescriptions,Public,Oncology,Training,No,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Oncology department with clearance level 3.
Medical Records,Highly Confidential,Oncology,Training,Yes,This data can be accessed by users having roles: (Nurse or Nurse) and belonging to the Oncology department with clearance level 3.
Imaging Data,Restricted,Neurology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 3.
Medical Records,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 3.
Administrative Data,Confidential,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Neurology department with clearance level 2.
